사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010200100091,2018년 1월 2일 08시,화요일,세종특별자치시 세종특별자치시 반곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 터널,승합,남,50세,상해없음,승용,남,23세,경상
2018010200100118,2018년 1월 2일 09시,화요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,보행자,여,78세,경상
2018010300100237,2018년 1월 3일 14시,수요일,세종특별자치시 세종특별자치시 다정동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,여,54세,상해없음,이륜,남,17세,경상
2018010300100238,2018년 1월 3일 14시,수요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,45세,상해없음,승용,남,37세,경상
2018010400100033,2018년 1월 4일 03시,목요일,세종특별자치시 세종특별자치시 조치원읍,사망사고,1,0,0,0,차대사람 - 차도통행중,과속,건조,맑음,단일로 - 고가도로위,승용,남,64세,상해없음,보행자,남,57세,사망
2018010400100337,2018년 1월 4일 18시,목요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,30세,상해없음,보행자,남,7세,경상
2018010400100377,2018년 1월 4일 19시,목요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,55세,상해없음,승용,남,44세,경상
2018010400100461,2018년 1월 4일 22시,목요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,33세,경상
2018010500100219,2018년 1월 5일 13시,금요일,세종특별자치시 세종특별자치시 종촌동,중상사고,0,3,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,58세,상해없음,승용,남,42세,경상
2018010500100377,2018년 1월 5일 18시,금요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,58세,상해없음,승용,남,35세,경상
2018010500100553,2018년 1월 5일 23시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,승용,남,36세,경상
2018010600100272,2018년 1월 6일 14시,토요일,세종특별자치시 세종특별자치시 조치원읍,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,보행자,여,60세,부상신고
2018010800100117,2018년 1월 8일 08시,월요일,세종특별자치시 세종특별자치시 한솔동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,적설,눈,교차로 - 교차로부근,승용,여,42세,상해없음,보행자,남,28세,경상
2018010800100434,2018년 1월 8일 18시,월요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,흐림,단일로 - 기타,승용,여,43세,상해없음,승용,남,31세,경상
2018010800100561,2018년 1월 8일 21시,월요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,젖음/습기,흐림,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,남,51세,경상
2018010800100588,2018년 1월 8일 22시,월요일,세종특별자치시 세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,남,36세,경상
2018010800100589,2018년 1월 8일 22시,월요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,서리/결빙,눈,단일로 - 기타,승용,남,55세,상해없음,화물,남,55세,경상
2018010900100362,2018년 1월 9일 15시,화요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,서리/결빙,눈,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,59세,경상
2018010900100491,2018년 1월 9일 18시,화요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,흐림,교차로 - 교차로횡단보도내,승용,남,33세,상해없음,보행자,남,55세,중상
2018011100100112,2018년 1월 11일 07시,목요일,세종특별자치시 세종특별자치시 전의면,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,서리/결빙,눈,단일로 - 기타,승용,남,36세,상해없음,승용,남,49세,중상
2018011100100454,2018년 1월 11일 18시,목요일,세종특별자치시 세종특별자치시 한솔동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,여,13세,중상
2018011100100574,2018년 1월 11일 21시,목요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,29세,경상
2018011200100522,2018년 1월 12일 18시,금요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,4,0,차대차 - 정면충돌,안전운전불이행,적설,흐림,단일로 - 기타,승용,여,19세,경상,승용,여,59세,경상
2018011300100263,2018년 1월 13일 13시,토요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,승용,남,42세,경상
2018011300100556,2018년 1월 13일 23시,토요일,세종특별자치시 세종특별자치시 조치원읍,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,화물,남,75세,상해없음,보행자,남,73세,사망
2018011400100353,2018년 1월 14일 19시,일요일,세종특별자치시 세종특별자치시 한솔동,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,이륜,남,25세,부상신고,미분류,미분류,미분류,미분류
2018011500100103,2018년 1월 15일 07시,월요일,세종특별자치시 세종특별자치시 종촌동,중상사고,0,4,8,1,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로안,특수,남,53세,상해없음,승합,남,62세,중상
2018011600100018,2018년 1월 16일 00시,화요일,세종특별자치시 세종특별자치시 소정면,사망사고,2,0,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,남,27세,사망,화물,남,41세,상해없음
2018011600100299,2018년 1월 16일 15시,화요일,세종특별자치시 세종특별자치시 아름동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,34세,상해없음,승용,남,29세,경상
2018011700100421,2018년 1월 17일 17시,수요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,여,40세,경상
2018011700100555,2018년 1월 17일 20시,수요일,세종특별자치시 세종특별자치시 한솔동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,이륜,남,57세,경상
2018011800100108,2018년 1월 18일 07시,목요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,젖음/습기,안개,교차로 - 교차로안,화물,남,30세,상해없음,승용,남,28세,경상
2018011800100138,2018년 1월 18일 08시,목요일,세종특별자치시 세종특별자치시 반곡동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,33세,경상
2018011900100084,2018년 1월 19일 06시,금요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,48세,상해없음,보행자,남,29세,중상
2018011900100146,2018년 1월 19일 09시,금요일,세종특별자치시 세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승용,여,48세,경상
2018011900100147,2018년 1월 19일 09시,금요일,세종특별자치시 세종특별자치시 대평동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,38세,상해없음,승용,여,68세,중상
2018011900100476,2018년 1월 19일 19시,금요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,36세,상해없음,승용,여,50세,경상
2018012100100169,2018년 1월 21일 12시,일요일,세종특별자치시 세종특별자치시 나성동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,36세,상해없음,보행자,여,13세,중상
2018012200100228,2018년 1월 22일 13시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,25세,경상
2018012200100267,2018년 1월 22일 14시,월요일,세종특별자치시 세종특별자치시 연서면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,62세,중상,,,,
2018012200100330,2018년 1월 22일 16시,월요일,세종특별자치시 세종특별자치시 새롬동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,남,36세,상해없음,승용,여,63세,부상신고
2018012200100428,2018년 1월 22일 18시,월요일,세종특별자치시 세종특별자치시 연동면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,33세,상해없음,보행자,여,53세,중상
2018012200100484,2018년 1월 22일 19시,월요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,68세,경상,,,,
2018012300100167,2018년 1월 23일 10시,화요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,젖음/습기,눈,교차로 - 교차로안,화물,남,43세,상해없음,승용,남,34세,경상
2018012300100168,2018년 1월 23일 10시,화요일,세종특별자치시 세종특별자치시 연서면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,화물,남,52세,상해없음
2018012300100490,2018년 1월 23일 20시,화요일,세종특별자치시 세종특별자치시 보람동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,이륜,남,17세,경상
2018012500100262,2018년 1월 25일 14시,목요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,이륜,남,31세,중상
2018012500100524,2018년 1월 25일 22시,목요일,세종특별자치시 세종특별자치시 보람동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,37세,상해없음,보행자,여,62세,중상
2018012600100181,2018년 1월 26일 11시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,90세 이상,상해없음,화물,남,45세,경상
2018012600100597,2018년 1월 26일 22시,금요일,세종특별자치시 세종특별자치시 아름동,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21세,부상신고,,,,
2018012700100436,2018년 1월 27일 19시,토요일,세종특별자치시 세종특별자치시 금남면,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,보행자,남,82세,중상
2018012900100189,2018년 1월 29일 11시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,66세,상해없음,화물,남,69세,경상
2018013000100029,2018년 1월 30일 02시,화요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,22세,상해없음,,,,
2018013000100588,2018년 1월 30일 21시,화요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,기타 - 기타,승용,남,59세,상해없음,승용,남,50세,경상
2018013100100253,2018년 1월 31일 12시,수요일,세종특별자치시 세종특별자치시 연서면,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,51세,상해없음,,,,
2018013100100567,2018년 1월 31일 22시,수요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,보행자,남,53세,중상
2018013100100600,2018년 1월 31일 23시,수요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,승용,남,46세,경상
2018020100100049,2018년 2월 1일 03시,목요일,세종특별자치시 세종특별자치시 고운동,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,32세,경상,승용,남,40세,중상
2018020100100612,2018년 2월 1일 21시,목요일,세종특별자치시 세종특별자치시 전동면,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,68세,경상,,,,
2018020200100068,2018년 2월 2일 06시,금요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,승용,남,46세,경상
2018020200100088,2018년 2월 2일 07시,금요일,세종특별자치시 세종특별자치시 보람동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,57세,경상
2018020200100421,2018년 2월 2일 17시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,21세,상해없음,승용,남,43세,경상
2018020300100176,2018년 2월 3일 09시,토요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,승용,여,32세,경상
2018020300100629,2018년 2월 3일 20시,토요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,이륜,남,20세,경상
2018020400100293,2018년 2월 4일 15시,일요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,2,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,35세,상해없음,승용,남,26세,중상
2018020500100385,2018년 2월 5일 15시,월요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,단일로 - 기타,승합,남,62세,상해없음,이륜,남,38세,경상
2018020500100386,2018년 2월 5일 15시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,62세,경상
2018020500100616,2018년 2월 5일 22시,월요일,세종특별자치시 세종특별자치시 나성동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,28세,경상
2018020500100617,2018년 2월 5일 22시,월요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,39세,경상
2018020600100054,2018년 2월 6일 05시,화요일,세종특별자치시 세종특별자치시 어진동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,30세,부상신고
2018020600100302,2018년 2월 6일 13시,화요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,70세,상해없음,이륜,남,75세,중상
2018020600100433,2018년 2월 6일 17시,화요일,세종특별자치시 세종특별자치시 어진동,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,65세,상해없음,자전거,남,13세,중상
2018020600100434,2018년 2월 6일 17시,화요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,49세,상해없음,승용,여,46세,경상
2018020700100407,2018년 2월 7일 16시,수요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,64세,상해없음,자전거,여,58세,중상
2018020700100502,2018년 2월 7일 18시,수요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,86세,상해없음,승용,남,42세,경상
2018020900100423,2018년 2월 9일 16시,금요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,보행자,남,8세,경상
2018020900100635,2018년 2월 9일 20시,금요일,세종특별자치시 세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,승용,남,61세,경상
2018021000100172,2018년 2월 10일 09시,토요일,세종특별자치시 세종특별자치시 어진동,부상신고사고,0,0,0,1,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,여,25세,상해없음
2018021000100173,2018년 2월 10일 09시,토요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,화물,남,34세,경상
2018021000100365,2018년 2월 10일 16시,토요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,50세,상해없음,승용,여,38세,경상
2018021000100464,2018년 2월 10일 19시,토요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,승용,남,44세,경상
2018021000100561,2018년 2월 10일 23시,토요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,46세,상해없음,승용,남,46세,경상
2018021100100165,2018년 2월 11일 11시,일요일,세종특별자치시 세종특별자치시 고운동,중상사고,0,4,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,71세,기타불명,승용,남,46세,중상
2018021100100367,2018년 2월 11일 19시,일요일,세종특별자치시 세종특별자치시 장군면,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,18세,기타불명,승용,여,53세,경상
2018021200100062,2018년 2월 12일 06시,월요일,세종특별자치시 세종특별자치시 소정면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,적설,눈,단일로 - 교량,승합,남,45세,상해없음,화물,남,60세,경상
2018021200100117,2018년 2월 12일 08시,월요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,적설,흐림,교차로 - 교차로안,승용,남,50세,상해없음,승용,여,40세,경상
2018021200100399,2018년 2월 12일 15시,월요일,세종특별자치시 세종특별자치시 반곡동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,젖음/습기,눈,교차로 - 교차로안,건설기계,남,58세,상해없음,승합,남,57세,경상
2018021200100702,2018년 2월 12일 21시,월요일,세종특별자치시 세종특별자치시 연기면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,48세,기타불명,승용,남,61세,경상
2018021300100039,2018년 2월 13일 01시,화요일,세종특별자치시 세종특별자치시 연동면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,적설,눈,교차로 - 교차로부근,승용,남,20세,상해없음,승용,남,43세,상해없음
2018021300100155,2018년 2월 13일 08시,화요일,세종특별자치시 세종특별자치시 소담동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,여,55세,경상
2018021300100302,2018년 2월 13일 11시,화요일,세종특별자치시 세종특별자치시 한솔동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,화물,남,58세,상해없음,승용,여,49세,중상
2018021300100359,2018년 2월 13일 13시,화요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,32세,상해없음,승용,여,38세,경상
2018021300100449,2018년 2월 13일 15시,화요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,52세,상해없음,승합,남,27세,경상
2018021300100556,2018년 2월 13일 17시,화요일,세종특별자치시 세종특별자치시 부강면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,46세,상해없음,이륜,여,61세,경상
2018021300100752,2018년 2월 13일 21시,화요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,이륜,남,29세,중상
2018021400100315,2018년 2월 14일 13시,수요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,37세,상해없음,승용,남,24세,경상
2018021400100573,2018년 2월 14일 19시,수요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,승용,남,50세,경상
2018021400100574,2018년 2월 14일 19시,수요일,세종특별자치시 세종특별자치시 대평동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,52세,상해없음,승용,여,32세,경상
2018021500100010,2018년 2월 15일 00시,목요일,세종특별자치시 세종특별자치시 고운동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,남,34세,경상
2018021500100276,2018년 2월 15일 15시,목요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,승용,남,27세,경상
2018021500100394,2018년 2월 15일 21시,목요일,세종특별자치시 세종특별자치시 도담동,경상사고,0,0,3,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,승용,남,32세,경상
2018021700100179,2018년 2월 17일 15시,토요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,46세,상해없음,보행자,여,53세,경상
2018021800100109,2018년 2월 18일 10시,일요일,세종특별자치시 세종특별자치시 연기면,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,45세,중상,승용,남,45세,중상
2018021900100031,2018년 2월 19일 04시,월요일,세종특별자치시 세종특별자치시 종촌동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,화물,여,58세,중상
2018021900100086,2018년 2월 19일 08시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,승용,여,46세,경상
2018021900100087,2018년 2월 19일 08시,월요일,세종특별자치시 세종특별자치시 어진동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,46세,상해없음,승합,남,44세,상해없음
2018021900100456,2018년 2월 19일 21시,월요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21세,상해없음,승용,남,37세,경상
2018022000100107,2018년 2월 20일 07시,화요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,56세,상해없음,승용,남,38세,경상
2018022000100256,2018년 2월 20일 13시,화요일,세종특별자치시 세종특별자치시 장군면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,59세,상해없음,승용,여,62세,경상
2018022100100228,2018년 2월 21일 14시,수요일,세종특별자치시 세종특별자치시 연동면,중상사고,0,1,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,여,61세,상해없음,승합,남,42세,상해없음
2018022200100407,2018년 2월 22일 18시,목요일,세종특별자치시 세종특별자치시 종촌동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,18세,경상,승용,남,39세,상해없음
2018022200100552,2018년 2월 22일 22시,목요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,35세,상해없음,보행자,남,66세,경상
2018022300100253,2018년 2월 23일 11시,금요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,여,47세,경상
2018022300100283,2018년 2월 23일 12시,금요일,세종특별자치시 세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,60세,상해없음,보행자,여,54세,중상
2018022400100141,2018년 2월 24일 09시,토요일,세종특별자치시 세종특별자치시 다정동,경상사고,0,0,4,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61세,상해없음,승용,남,33세,경상
2018022400100249,2018년 2월 24일 13시,토요일,세종특별자치시 세종특별자치시 조치원읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,38세,상해없음,승용,여,27세,경상
